Estacion,Canal,PGA,T=0.1s,T=0.3s,T=0.5s,T=1s,T=1.5s,T=2s,T=3s,Tmax,Samax,Amp
COMA,ENZ,75.88,122.08,228.88,123.5,56.31,72.75,38.48,26.16,0.32,248.28,3.272008434
COMA,ENN,116.82,284.12,421.41,211.58,217.14,83.63,79.57,40.65,0.4,482.15,4.127289848
COMA,ENE,206.74,275.93,664.19,223.16,147.59,124,82.54,39.9,0.32,681.94,3.298539228
GDLC,ENZ,8.5,14.6,18.63,15.71,13.43,10.83,11.51,11.25,0.15,26.57,3.125882353
GDLC,ENN,17.93,19.68,34.25,56.06,25.72,15.81,12.75,11.55,0.66,64.89,3.619074177
GDLC,ENE,24.69,27.06,32.01,86.6,26.36,17.91,16.42,18.41,0.56,120.1,4.864317537
ATYC,ENZ,2.45,4.09,5.87,6.23,4.87,5.05,2.86,1.53,0.64,7.64,3.118367347
ATYC,ENN,2.97,4.76,6.97,7.77,5.33,4.12,3.62,1.35,0.54,9.04,3.043771044
ATYC,ENE,2.94,5.32,4.71,7.84,5.42,4.49,2.26,1.16,0.6,9.17,3.119047619
VNTA,HNZ,1.14,1.23,2.15,3.67,3.87,2.77,2.31,0.72,1,3.87,3.394736842
VNTA,HNN,1.38,1.54,2.54,3.34,3.54,3.17,2.1,1.27,1.2,3.77,2.731884058
VNTA,HNE,1.19,1.29,2.1,2.73,3.47,1.91,1.84,1.04,0.88,5.96,5.008403361
CUP5,ENZ,2.76,2.82,3.94,6.02,8.1,7.62,9.25,5.35,1.8,11.99,4.344202899
CUP5,ENN,5.52,5.6,9.8,11.33,11.26,17.18,17.64,8.34,2.4,22,3.985507246
CUP5,ENE,4.45,4.53,6.57,8.5,14.22,14.68,13.54,7.1,1.5,14.68,3.298876404
CMCU,HNZ,2.79,2.85,4,6.03,8.15,7.71,9.38,5.27,1.8,12.09,4.333333333
CMCU,HNN,5.55,5.64,9.81,11.4,11.29,17.11,17.44,8.26,2.4,21.99,3.962162162
CMCU,HNE,4.44,4.51,6.73,8.65,14.34,14.81,13.65,7.15,1.5,14.81,3.335585586
CMBM,HNZ,2.91,3.18,4.6,6.65,10.93,5.97,8.12,5.61,0.98,11.2,3.848797251
CMBM,HNN,5.35,5.35,7.86,11.16,12.43,16.13,11.84,6.51,1.5,16.13,3.014953271
CMBM,HNW,4.7,4.71,8.25,9.64,13.57,10.06,10.05,5.27,0.98,13.58,2.889361702
TACY,HNZ,2.72,2.9,4.02,5.72,9.92,5.67,9.24,5.09,2.2,11.19,4.113970588
TACY,HNN,6.73,6.82,8.23,12.42,16.29,13.13,14.35,6.83,0.96,16.96,2.520059435
TACY,HNE,6.14,6.21,7.58,11.16,20.45,10.31,9.25,5.68,1,20.45,3.330618893
