Clave,Estado,Latitud,Longitud,Distancia Epicentral (km),PGA,PGA_g
COMA,COL,19.325266,103.760813,132,206.74,0.210744139
GDLC,JAL,20.682656,103.377486,272,24.69,0.025168196
ATYC,GRO,17.213361,100.432269,322,2.97,0.003027523
VNTA,GRO,16.91426,99.81885,395,1.38,0.001406728
CUP5,CMX,19.33024,99.181076,450,5.52,0.005626911
CMCU,CMX,19.33024,99.181076,450,5.55,0.005657492
CMBM,CMX,19.401245,99.199547,450,5.35,0.005453619
TACY,CMX,19.404505,99.195246,451,6.73,0.006860347
CMP1,CMX,19.272467,99.120834,454,42.06,0.042874618
CMMG,CMX,19.332018,99.115699,456,20.14,0.020530071
CMRC,CMX,19.355282,99.121243,457,22.59,0.023027523
CMEN,CMX,19.295514,99.102591,457,46.07,0.046962283
CTCL,CMX,19.434521,99.133503,458,21.79,0.022212029
CMCT,CMX,19.450048,99.137962,458,20.67,0.021070336
CMSG,CMX,19.25526,99.04821,461,9.07,0.009245668
CMJC,CMX,19.452758,99.10143,462,24.66,0.025137615
CM55,CMX,19.385019,99.064004,463,17.27,0.017604485
CMPR,CMX,19.411101,99.063118,464,19.26,0.019633028
PHPU,PUE,19.044223,98.168466,548,4.87,0.004964322
OXBJ,OAX,17.067337,96.723804,708,1.32,0.001345566
,,,,,,
